BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20240829,095570,AJ네트웍스,KOSPI,-,4545,15,0.33,4540,4560,4480,53606,242376675,205673789655,45252759
20240829,006840,AK홀딩스,KOSPI,-,13440,-120,-0.88,13740,13740,13400,815,11007760,178047219840,13247561
20240829,027410,BGF,KOSPI,-,3500,-15,-0.43,3500,3515,3480,38889,135896135,335008768500,95716791
20240829,282330,BGF리테일,KOSPI,-,115300,3600,3.22,112800,115800,111000,52587,6021977000,1992834361800,17283906
20240829,138930,BNK금융지주,KOSPI,-,10120,80,0.80,10120,10230,9990,883636,8950564490,3259534992560,322088438
20240829,001460,BYC,KOSPI,-,34050,900,2.71,33100,34050,33100,2112,71464050,212681407500,6246150
20240829,001465,BYC우,KOSPI,-,13290,90,0.68,13240,13410,13150,1366,18076610,28624666500,2153850
20240829,001040,CJ,KOSPI,-,112100,-6200,-5.24,118800,118800,111900,209394,24044931100,3270741475800,29176998
20240829,079160,CJ CGV,KOSPI,-,7140,0,0.00,7090,7430,7090,1567567,11401316390,1182239307900,165579735
20240829,00104K,CJ4우(전환),KOSPI,-,86000,-4100,-4.55,88700,89800,85400,17904,1550460500,363480032000,4226512
20240829,000120,CJ대한통운,KOSPI,-,93400,-2500,-2.61,95000,95300,93300,71651,6732777900,2130672929600,22812344
20240829,011150,CJ씨푸드,KOSPI,-,3330,-60,-1.77,3365,3365,3300,306021,1016659930,119649474090,35930773
20240829,011155,CJ씨푸드1우,KOSPI,-,18810,-170,-0.90,18890,18900,18720,148,2778390,3762000000,200000
20240829,001045,CJ우,KOSPI,-,58400,-1400,-2.34,60600,60600,58100,3825,224699000,131997023200,2260223
20240829,097950,CJ제일제당,KOSPI,-,319500,-16000,-4.77,337000,337000,317000,75019,24091589500,4809812427000,15054186
20240829,097955,CJ제일제당 우,KOSPI,-,138000,-3400,-2.40,141400,141400,137400,7660,1060357800,183185754000,1327433
20240829,000480,CR홀딩스,KOSPI,-,5830,-30,-0.51,5860,5860,5780,9239,53698430,273371556700,46890490
20240829,000590,CS홀딩스,KOSPI,-,66700,-800,-1.19,67500,67800,66700,568,38049100,77003949400,1154482
20240829,012030,DB,KOSPI,-,1220,26,2.18,1194,1238,1176,957089,1167001215,245432198260,201173933
20240829,016610,DB금융투자,KOSPI,-,4680,5,0.11,4650,4750,4600,44042,205694635,198649100520,42446389
20240829,005830,DB손해보험,KOSPI,-,117500,-1500,-1.26,120100,120500,117300,99861,11862374400,8319000000000,70800000
20240829,000990,DB하이텍,KOSPI,-,40850,-800,-1.92,40600,41100,40450,219702,8955691900,1813682319800,44398588
20240829,139130,DGB금융지주,KOSPI,-,8280,10,0.12,8330,8350,8250,293096,2433613250,1400527497240,169145833
20240829,001530,DI동일,KOSPI,-,30550,350,1.16,30200,30550,30050,56120,1702710600,770338779600,25215672
20240829,000210,DL,KOSPI,-,46600,-350,-0.75,46700,47050,45650,47446,2201648050,976544194400,20955884
20240829,000215,DL우,KOSPI,-,24650,-500,-1.99,25350,25700,24650,2740,69213750,41562734750,1686115
20240829,375500,DL이앤씨,KOSPI,-,32100,100,0.31,32000,32300,31700,56194,1798032350,1242065298300,38693623
20240829,37550L,DL이앤씨2우(전환),KOSPI,-,22050,50,0.23,22450,22450,21850,612,13419900,46568519550,2111951
20240829,37550K,DL이앤씨우,KOSPI,-,16710,0,0.00,16890,16900,16510,2142,35839420,35323018350,2113885
20240829,007340,DN오토모티브,KOSPI,-,89300,1000,1.13,86800,89300,86700,6735,594018000,892464646500,9994005
20240829,004840,DRB동일,KOSPI,-,4845,-5,-0.10,4710,4875,4710,6257,29949045,96560850000,19930000
20240829,155660,DSR,KOSPI,-,4010,-15,-0.37,4025,4025,3985,13405,53496255,64160000000,16000000
20240829,069730,DSR제강,KOSPI,-,4110,-20,-0.48,4130,4130,4075,4349,17819815,59184000000,14400000
20240829,017860,DS단석,KOSPI,-,76000,100,0.13,75600,77600,74600,52297,3974418200,445466704000,5861404
20240829,017940,E1,KOSPI,-,76400,-800,-1.04,77300,78100,76100,6313,482258500,524104000000,6860000
20240829,365550,ESR켄달스퀘어리츠,KOSPI,-,5010,-40,-0.79,5050,5050,4980,135638,679892740,1067575890000,213089000
20240829,383220,F&F,KOSPI,-,58000,100,0.17,57600,58900,57300,39852,2314373200,2221810350000,38307075
20240829,007700,F&F홀딩스,KOSPI,-,13670,-210,-1.51,13720,13870,13650,19144,262995750,534693396890,39114367
20240829,114090,GKL,KOSPI,-,11050,-10,-0.09,11050,11080,10930,93014,1024487500,683505153500,61855670
20240829,078930,GS,KOSPI,-,46150,-50,-0.11,46550,46550,45650,77676,3583636950,4288044694700,92915378
20240829,006360,GS건설,KOSPI,-,20950,300,1.45,20400,21150,20350,699976,14583525450,1792932215500,85581490
20240829,001250,GS글로벌,KOSPI,-,3755,-65,-1.70,3770,3930,3725,4838583,18529327935,309914283820,82533764
20240829,007070,GS리테일,KOSPI,-,22000,250,1.15,21900,22000,21500,132321,2891922250,2303794284000,104717922
20240829,078935,GS우,KOSPI,-,41950,-2000,-4.55,42800,42900,41700,59239,2488810750,74873450700,1784826
20240829,012630,HDC,KOSPI,-,10880,20,0.18,10730,11060,10700,107446,1174629030,649989924480,59741721
