BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20241120,095570,AJ네트웍스,KOSPI,-,4605,20,0.44,4580,4615,4540,28863,132021245,208388955195,45252759
20241120,006840,AK홀딩스,KOSPI,-,11360,160,1.43,11230,11380,11180,1180,13267050,150492292960,13247561
20241120,027410,BGF,KOSPI,-,3510,20,0.57,3490,3525,3450,60793,212227710,335965936410,95716791
20241120,282330,BGF리테일,KOSPI,-,110000,2000,1.85,106500,111000,106500,34987,3847607400,1901229660000,17283906
20241120,138930,BNK금융지주,KOSPI,-,9590,290,3.12,9280,9600,9280,619708,5891518360,3072988211930,320436727
20241120,001460,BYC,KOSPI,-,28700,-100,-0.35,29300,29500,28700,2194,63448550,179264505000,6246150
20241120,001465,BYC우,KOSPI,-,13010,0,0.00,13010,13030,12910,1061,13728900,28021588500,2153850
20241120,001040,CJ,KOSPI,-,97000,-500,-0.51,96600,99500,96000,62379,6084900200,2830168806000,29176998
20241120,079160,CJ CGV,KOSPI,-,5220,-20,-0.38,5240,5260,5140,164981,857406400,864327986280,165580074
20241120,00104K,CJ4우(전환),KOSPI,-,76900,900,1.18,76200,77000,75700,6658,508656000,325018772800,4226512
20241120,000120,CJ대한통운,KOSPI,-,81300,1700,2.14,79700,81800,79100,48211,3902936100,1854643567200,22812344
20241120,011150,CJ씨푸드,KOSPI,-,2925,20,0.69,2905,2975,2900,221061,648086895,105097511025,35930773
20241120,011155,CJ씨푸드1우,KOSPI,-,17090,-20,-0.12,17110,17180,16700,362,6087110,3418000000,200000
20241120,001045,CJ우,KOSPI,-,56900,400,0.71,56500,57000,56400,513,29080100,128606688700,2260223
20241120,097950,CJ제일제당,KOSPI,-,284500,14000,5.18,268000,288500,266500,141976,40234506500,4282915917000,15054186
20241120,097955,CJ제일제당 우,KOSPI,-,135500,4100,3.12,133200,135900,131500,5514,743689300,179867171500,1327433
20241120,000480,CR홀딩스,KOSPI,-,5620,-20,-0.35,5650,5680,5620,7867,44411010,263524553800,46890490
20241120,000590,CS홀딩스,KOSPI,-,69500,-600,-0.86,69600,69600,69300,51,3545000,80236499000,1154482
20241120,012030,DB,KOSPI,-,1360,9,0.67,1341,1390,1333,218401,295811590,273596548880,201173933
20241120,016610,DB금융투자,KOSPI,-,5080,80,1.60,5000,5100,4995,34665,175394995,215627656120,42446389
20241120,005830,DB손해보험,KOSPI,-,107800,700,0.65,105800,108700,104900,63591,6843574700,7632240000000,70800000
20241120,000990,DB하이텍,KOSPI,-,33650,-350,-1.03,34050,34100,33250,112126,3779814500,1494012486200,44398588
20241120,139130,DGB금융지주,KOSPI,-,8330,140,1.71,8190,8340,8190,411206,3414507940,1408984788890,169145833
20241120,001530,DI동일,KOSPI,-,42500,150,0.35,42500,42600,41000,94567,3993651850,1071666060000,25215672
20241120,000210,DL,KOSPI,-,35750,1050,3.03,34950,35900,34850,45760,1629648700,749172853000,20955884
20241120,000215,DL우,KOSPI,-,20900,450,2.20,20950,20950,20450,843,17425150,35239803500,1686115
20241120,375500,DL이앤씨,KOSPI,-,30850,0,0.00,30500,31100,30500,60812,1874835900,1193698269550,38693623
20241120,37550L,DL이앤씨2우(전환),KOSPI,-,20750,250,1.22,20350,20900,20150,2952,60606400,43822983250,2111951
20241120,37550K,DL이앤씨우,KOSPI,-,15480,-150,-0.96,15630,15660,15370,1700,26300060,32722939800,2113885
20241120,007340,DN오토모티브,KOSPI,-,18810,380,2.06,18500,19070,18400,131340,2465506940,1111028920650,59065865
20241120,004840,DRB동일,KOSPI,-,4430,-90,-1.99,4515,4585,4400,50582,225241895,88289900000,19930000
20241120,155660,DSR,KOSPI,-,3805,-55,-1.42,3865,3870,3785,13070,49953190,60880000000,16000000
20241120,069730,DSR제강,KOSPI,-,3360,10,0.30,3350,3365,3335,6690,22413270,48384000000,14400000
20241120,017860,DS단석,KOSPI,-,137100,1600,1.18,138000,147400,134800,835678,117846841300,803598488400,5861404
20241120,017940,E1,KOSPI,-,71500,0,0.00,71800,72100,71000,8331,595657700,490490000000,6860000
20241120,365550,ESR켄달스퀘어리츠,KOSPI,-,4800,135,2.89,4645,4800,4645,181350,862624255,1022827200000,213089000
20241120,383220,F&F,KOSPI,-,50500,-700,-1.37,51200,51500,50300,60564,3074824600,1934507287500,38307075
20241120,007700,F&F홀딩스,KOSPI,-,12600,-40,-0.32,12640,12640,12500,4844,61064050,492841024200,39114367
20241120,114090,GKL,KOSPI,-,10740,40,0.37,10600,10810,10590,43564,468208570,664329895800,61855670
20241120,078930,GS,KOSPI,-,42050,350,0.84,41700,42150,41650,83099,3486848000,3907091644900,92915378
20241120,006360,GS건설,KOSPI,-,17800,-450,-2.47,18250,18250,17780,285222,5107586350,1523350522000,85581490
20241120,001250,GS글로벌,KOSPI,-,3150,-45,-1.41,3220,3280,3145,1263684,4049049895,259981356600,82533764
20241120,007070,GS리테일,KOSPI,-,21250,350,1.67,20800,21350,20800,125357,2647039700,2225255842500,104717922
20241120,078935,GS우,KOSPI,-,39250,550,1.42,39100,39350,38700,8729,341741300,70054420500,1784826
20241120,012630,HDC,KOSPI,-,10970,-290,-2.58,11370,11460,10970,147483,1651730300,655366679370,59741721
20241120,039570,HDC랩스,KOSPI,-,7880,10,0.13,7810,7900,7810,5104,39969480,204545895880,25957601
20241120,089470,HDC현대EP,KOSPI,-,3630,20,0.55,3650,3655,3610,21561,78192855,115797000000,31900000
