BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20241115,095570,AJ네트웍스,KOSPI,-,4545,5,0.11,4475,4595,4470,89766,404933205,205673789655,45252759
20241115,006840,AK홀딩스,KOSPI,-,11320,-80,-0.70,11400,11470,11000,2703,30505390,149962390520,13247561
20241115,027410,BGF,KOSPI,-,3500,5,0.14,3465,3500,3400,109414,377578220,335008768500,95716791
20241115,282330,BGF리테일,KOSPI,-,104100,-900,-0.86,105000,106700,104100,18267,1920464400,1799254614600,17283906
20241115,138930,BNK금융지주,KOSPI,-,9320,-30,-0.32,9440,9550,9280,521947,4878142500,2986470295640,320436727
20241115,001460,BYC,KOSPI,-,29550,-300,-1.01,29850,30000,29250,1327,39036550,184573732500,6246150
20241115,001465,BYC우,KOSPI,-,12940,90,0.70,12950,12950,12760,1922,24574520,27870819000,2153850
20241115,001040,CJ,KOSPI,-,90000,-2800,-3.02,92000,94500,89400,138985,12597186100,2625929820000,29176998
20241115,079160,CJ CGV,KOSPI,-,5230,160,3.16,5000,5240,5000,336658,1722401480,865983787020,165580074
20241115,00104K,CJ4우(전환),KOSPI,-,71300,-1300,-1.79,73900,74000,69900,27765,1970530400,301350305600,4226512
20241115,000120,CJ대한통운,KOSPI,-,77900,-1000,-1.27,78900,79300,76800,310316,23130526530,1777081597600,22812344
20241115,011150,CJ씨푸드,KOSPI,-,2895,130,4.70,2740,2895,2720,363134,1021534895,104019587835,35930773
20241115,011155,CJ씨푸드1우,KOSPI,-,17850,120,0.68,18000,18000,17220,377,6585630,3570000000,200000
20241115,001045,CJ우,KOSPI,-,54200,-500,-0.91,55700,55700,53800,1769,95774500,122504086600,2260223
20241115,097950,CJ제일제당,KOSPI,-,246500,6000,2.49,242500,248000,239000,46319,11296705000,3710856849000,15054186
20241115,097955,CJ제일제당 우,KOSPI,-,125100,1800,1.46,123300,125100,123000,3115,385561700,166061868300,1327433
20241115,000480,CR홀딩스,KOSPI,-,5630,-60,-1.05,5680,5730,5570,18788,105718940,263993458700,46890490
20241115,000590,CS홀딩스,KOSPI,-,69600,-100,-0.14,69800,69900,69000,747,51885200,80351947200,1154482
20241115,012030,DB,KOSPI,-,1339,-1,-0.07,1340,1353,1300,361535,476777599,269371896287,201173933
20241115,016610,DB금융투자,KOSPI,-,5000,0,0.00,5000,5030,4875,146933,724646820,212231945000,42446389
20241115,005830,DB손해보험,KOSPI,-,101600,-3900,-3.70,106500,106700,101600,138294,14249945000,7193280000000,70800000
20241115,000990,DB하이텍,KOSPI,-,31850,-500,-1.55,31950,32250,31100,282770,8965229700,1414095027800,44398588
20241115,139130,DGB금융지주,KOSPI,-,8150,0,0.00,8190,8220,8130,396750,3240266240,1378538538950,169145833
20241115,001530,DI동일,KOSPI,-,40950,-350,-0.85,41300,41300,40150,74491,3034303800,1032581768400,25215672
20241115,000210,DL,KOSPI,-,34200,500,1.48,33750,34600,33400,60467,2050879000,716691232800,20955884
20241115,000215,DL우,KOSPI,-,20200,0,0.00,20150,20900,20000,2347,48052950,34059523000,1686115
20241115,375500,DL이앤씨,KOSPI,-,30150,-300,-0.99,30400,30600,29800,71550,2161677900,1166612733450,38693623
20241115,37550L,DL이앤씨2우(전환),KOSPI,-,20150,50,0.25,20750,20750,20000,4943,99877950,42555812650,2111951
20241115,37550K,DL이앤씨우,KOSPI,-,15500,-100,-0.64,15210,15740,15180,4297,66231630,32765217500,2113885
20241115,007340,DN오토모티브,KOSPI,-,18610,400,2.20,18010,18820,18010,141471,2619650050,1099215747650,59065865
20241115,004840,DRB동일,KOSPI,-,4560,105,2.36,4460,4575,4295,69917,307433680,90880800000,19930000
20241115,155660,DSR,KOSPI,-,3650,5,0.14,3630,3680,3535,27851,99725135,58400000000,16000000
20241115,069730,DSR제강,KOSPI,-,3335,30,0.91,3305,3335,3250,17438,57307210,48024000000,14400000
20241115,017860,DS단석,KOSPI,-,139800,-2200,-1.55,137000,145000,122000,1489838,200371314900,819424279200,5861404
20241115,017940,E1,KOSPI,-,70200,0,0.00,70200,70300,68600,8043,557489800,481572000000,6860000
20241115,365550,ESR켄달스퀘어리츠,KOSPI,-,4660,5,0.11,4750,4750,4635,112951,530101485,992994740000,213089000
20241115,383220,F&F,KOSPI,-,51400,600,1.18,50100,52300,50000,72492,3727533100,1968983655000,38307075
20241115,007700,F&F홀딩스,KOSPI,-,12670,50,0.40,12470,12740,12410,6304,79161680,495579029890,39114367
20241115,114090,GKL,KOSPI,-,10450,170,1.65,10380,10530,10180,95130,988454730,646391751500,61855670
20241115,078930,GS,KOSPI,-,40750,250,0.62,40650,41200,40500,111918,4575391050,3786301653500,92915378
