BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20241002,095570,AJ네트웍스,KOSPI,-,4700,20,0.43,4680,4735,4640,48203,225736390,212687967300,45252759
20241002,006840,AK홀딩스,KOSPI,-,13050,160,1.24,12800,13050,12790,2679,34705700,172880671050,13247561
20241002,027410,BGF,KOSPI,-,3540,-20,-0.56,3555,3565,3530,27309,96866590,338837440140,95716791
20241002,282330,BGF리테일,KOSPI,-,112900,-1800,-1.57,114000,114700,110000,24716,2795128000,1951352987400,17283906
20241002,138930,BNK금융지주,KOSPI,-,8980,-60,-0.66,8970,9090,8920,752792,6776915220,2877521808460,320436727
20241002,001460,BYC,KOSPI,-,32900,250,0.77,32400,33150,32050,432,14055050,205498335000,6246150
20241002,001465,BYC우,KOSPI,-,12910,80,0.62,12840,12930,12770,5454,70183620,27806203500,2153850
20241002,001040,CJ,KOSPI,-,114900,-4000,-3.36,118000,118500,114600,104819,12190632400,3352437070200,29176998
20241002,079160,CJ CGV,KOSPI,-,5710,-70,-1.21,5770,5840,5660,573597,3303467700,945461548760,165579956
20241002,00104K,CJ4우(전환),KOSPI,-,89100,-100,-0.11,89200,89200,86500,13135,1152133300,376582219200,4226512
20241002,000120,CJ대한통운,KOSPI,-,92900,-200,-0.21,92000,93600,90600,63640,5876021800,2119266757600,22812344
20241002,011150,CJ씨푸드,KOSPI,-,3350,-120,-3.46,3400,3425,3350,214383,723654880,120368089550,35930773
20241002,011155,CJ씨푸드1우,KOSPI,-,17550,-200,-1.13,17700,17700,17370,18,315720,3510000000,200000
20241002,001045,CJ우,KOSPI,-,59800,-600,-0.99,60600,60600,59600,2736,163567400,135161335400,2260223
20241002,097950,CJ제일제당,KOSPI,-,292500,-11500,-3.78,301500,303000,290000,76193,22339432500,4403349405000,15054186
20241002,097955,CJ제일제당 우,KOSPI,-,135300,-2800,-2.03,138000,138000,134200,7859,1063122800,179601684900,1327433
20241002,000480,CR홀딩스,KOSPI,-,5690,-30,-0.52,5720,5720,5670,6675,38094040,266806888100,46890490
20241002,000590,CS홀딩스,KOSPI,-,67800,500,0.74,67500,67900,66700,349,23554900,78273879600,1154482
20241002,012030,DB,KOSPI,-,1500,50,3.45,1400,1518,1400,896470,1321331217,301760899500,201173933
20241002,016610,DB금융투자,KOSPI,-,5570,0,0.00,5500,5580,5410,119895,661968450,236426386730,42446389
20241002,005830,DB손해보험,KOSPI,-,108800,-3500,-3.12,109000,112800,108500,154817,17053938200,7703040000000,70800000
20241002,000990,DB하이텍,KOSPI,-,40450,150,0.37,39650,41400,39450,227110,9222885100,1795922884600,44398588
20241002,139130,DGB금융지주,KOSPI,-,8090,0,0.00,8090,8150,8000,456282,3694526670,1368389788970,169145833
20241002,001530,DI동일,KOSPI,-,36300,-300,-0.82,36450,36800,35400,94225,3404986650,915328893600,25215672
20241002,000210,DL,KOSPI,-,44000,50,0.11,43200,44650,42950,46620,2040322000,922058896000,20955884
20241002,000215,DL우,KOSPI,-,24250,-100,-0.41,24800,24800,23700,2005,48393750,40888288750,1686115
20241002,375500,DL이앤씨,KOSPI,-,29450,-300,-1.01,29500,29850,28900,159188,4673633750,1139527197350,38693623
20241002,37550L,DL이앤씨2우(전환),KOSPI,-,20750,0,0.00,20750,20850,20500,657,13587100,43822983250,2111951
20241002,37550K,DL이앤씨우,KOSPI,-,15810,160,1.02,15840,15840,15490,3019,47236890,33420521850,2113885
20241002,007340,DN오토모티브,KOSPI,-,102100,0,0.00,0,0,0,0,0,1020387910500,9994005
20241002,004840,DRB동일,KOSPI,-,4665,-35,-0.74,4695,4695,4560,4301,19913955,92973450000,19930000
20241002,155660,DSR,KOSPI,-,3910,-5,-0.13,3890,3925,3875,12192,47528705,62560000000,16000000
20241002,069730,DSR제강,KOSPI,-,3670,-110,-2.91,3800,3800,3655,36271,134168410,52848000000,14400000
20241002,017860,DS단석,KOSPI,-,75500,-1400,-1.82,75000,78000,74700,32257,2455976300,442536002000,5861404
20241002,017940,E1,KOSPI,-,75700,-300,-0.39,75100,76900,75100,5762,435976800,519302000000,6860000
20241002,365550,ESR켄달스퀘어리츠,KOSPI,-,4855,-135,-2.71,4845,5050,4840,391217,1928610675,1034547095000,213089000
20241002,383220,F&F,KOSPI,-,69900,1400,2.04,69200,72100,68900,294259,20837536300,2677664542500,38307075
20241002,007700,F&F홀딩스,KOSPI,-,14010,10,0.07,13850,14340,13800,12067,169470070,547992281670,39114367
20241002,114090,GKL,KOSPI,-,12430,-30,-0.24,12340,12570,12180,207822,2583087660,768865978100,61855670
20241002,078930,GS,KOSPI,-,42550,0,0.00,42700,42750,42250,124086,5274857050,3953549333900,92915378
20241002,006360,GS건설,KOSPI,-,18000,-340,-1.85,18340,18340,17560,487761,8723162940,1540466820000,85581490
20241002,001250,GS글로벌,KOSPI,-,3710,-165,-4.26,3825,3895,3710,3190156,12105884360,306200264440,82533764
20241002,007070,GS리테일,KOSPI,-,21050,-300,-1.41,21200,21350,20950,150954,3183578200,2204312258100,104717922
20241002,078935,GS우,KOSPI,-,38900,-300,-0.77,39000,39000,38350,31273,1210221550,69429731400,1784826
20241002,012630,HDC,KOSPI,-,10770,-130,-1.19,10780,10970,10570,82229,887172800,643418335170,59741721
20241002,039570,HDC랩스,KOSPI,-,8100,-40,-0.49,8170,8170,8040,4738,38164550,210256568100,25957601
20241002,089470,HDC현대EP,KOSPI,-,4220,-100,-2.31,4275,4315,4165,51281,217171325,134618000000,31900000
20241002,294870,HDC현대산업개발,KOSPI,-,21600,-700,-3.14,21900,22250,21200,407242,8796970850,1423598328000,65907330
20241002,009540,HD한국조선해양,KOSPI,-,183300,-4400,-2.34,184200,186800,179300,244243,44604801800,12972712162800,70773116
20241002,267250,HD현대,KOSPI,-,77700,1200,1.57,76000,77700,75600,135397,10385842800,6137762704500,78993085
20241002,267270,HD현대건설기계,KOSPI,-,51700,-800,-1.52,51600,52300,51300,69022,3574165000,946398796200,18305586
20241002,443060,HD현대마린솔루션,KOSPI,-,103700,0,0.00,102800,104900,101900,67121,6924609900,4609465000000,44450000
20241002,071970,HD현대마린엔진,KOSPI,-,19310,240,1.26,18980,19610,18550,354054,6793825190,654943816090,33917339
20241002,010620,HD현대미포,KOSPI,-,100000,300,0.30,97900,101600,96300,203179,20129430700,3994214900000,39942149
20241002,322000,HD현대에너지솔루션,KOSPI,-,24400,-850,-3.37,24950,24950,24150,122257,2989053400,273280000000,11200000
20241002,042670,HD현대인프라코어,KOSPI,-,7280,-220,-2.93,7380,7430,7280,634898,4661296060,1402534711760,192655867
