BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20241113,095570,AJ네트웍스,KOSPI,-,4560,-15,-0.33,4540,4625,4460,131757,595786305,206352581040,45252759
20241113,006840,AK홀딩스,KOSPI,-,11440,-350,-2.97,11800,11800,11350,3309,38123130,151552097840,13247561
20241113,027410,BGF,KOSPI,-,3520,-30,-0.85,3510,3575,3490,53075,186561590,336923104320,95716791
20241113,282330,BGF리테일,KOSPI,-,101900,-5700,-5.30,106200,107600,101000,40728,4215872900,1761230021400,17283906
20241113,138930,BNK금융지주,KOSPI,-,9420,-70,-0.74,9490,9610,9400,834260,7913604890,3018513968340,320436727
20241113,001460,BYC,KOSPI,-,29550,-1650,-5.29,30700,30700,29550,1886,56838100,184573732500,6246150
20241113,001465,BYC우,KOSPI,-,12770,-140,-1.08,12720,12900,12510,422,5358850,27504664500,2153850
20241113,001040,CJ,KOSPI,-,96300,0,0.00,95200,96800,94000,60723,5811283800,2809744907400,29176998
20241113,079160,CJ CGV,KOSPI,-,5130,-160,-3.02,5170,5270,5130,422805,2194601610,849425764230,165580071
20241113,00104K,CJ4우(전환),KOSPI,-,74500,-100,-0.13,74600,75700,73000,13093,965539000,314875144000,4226512
20241113,000120,CJ대한통운,KOSPI,-,79600,-600,-0.75,78300,80600,78300,47375,3772720500,1815862582400,22812344
20241113,011150,CJ씨푸드,KOSPI,-,2790,-80,-2.79,2815,2900,2780,354438,998486810,100246856670,35930773
20241113,011155,CJ씨푸드1우,KOSPI,-,17800,270,1.54,18090,18090,17360,48,839430,3560000000,200000
20241113,001045,CJ우,KOSPI,-,54700,-200,-0.36,54200,54900,54200,2134,116358900,123634198100,2260223
20241113,097950,CJ제일제당,KOSPI,-,246500,-10000,-3.90,253500,256000,246500,78854,19612368000,3710856849000,15054186
20241113,097955,CJ제일제당 우,KOSPI,-,124300,-3700,-2.89,128000,129400,123400,8552,1069389600,164999921900,1327433
20241113,000480,CR홀딩스,KOSPI,-,5650,-40,-0.70,5620,5710,5570,15146,85096620,264931268500,46890490
20241113,000590,CS홀딩스,KOSPI,-,69200,-100,-0.14,69200,69700,68700,265,18409200,79890154400,1154482
20241113,012030,DB,KOSPI,-,1359,-56,-3.96,1392,1413,1353,720036,994229759,273395374947,201173933
20241113,016610,DB금융투자,KOSPI,-,4935,-95,-1.89,5010,5050,4910,91699,453268715,209472929715,42446389
20241113,005830,DB손해보험,KOSPI,-,105400,1400,1.35,104000,105500,103300,146655,15346604400,7462320000000,70800000
20241113,000990,DB하이텍,KOSPI,-,31600,-950,-2.92,32050,33150,31400,318894,10249450650,1402995380800,44398588
20241113,139130,DGB금융지주,KOSPI,-,8200,-50,-0.61,8250,8280,8180,289386,2379055050,1386995830600,169145833
20241113,001530,DI동일,KOSPI,-,40950,0,0.00,41550,41850,39200,230637,9355966850,1032581768400,25215672
20241113,000210,DL,KOSPI,-,33750,-750,-2.17,34000,35000,33700,54022,1842639200,707261085000,20955884
